DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/14/2018,19:09,BROOKLYN,11210,40.636208,-73.94899,"(40.636208, -73.94899)",FARRAGUT ROAD                   ,EAST 29 STREET,,2,0,0,0,0,0,2,0,Unspecified,,,,,3828859,PASSENGER VEHICLE,,,,
01/14/2018,19:10,,,40.71927,-73.790306,"(40.71927, -73.790306)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3829367,SPORT UTILITY / STATION WAGON,,,,
01/14/2018,19:10,,,40.751602,-73.93384,"(40.751602, -73.93384)",NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3831668,TAXI,PASSENGER VEHICLE,,,
01/14/2018,19:15,MANHATTAN,10037,40.815327,-73.93576,"(40.815327, -73.93576)",5 AVENUE                        ,WEST 139 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3828750,PASSENGER VEHICLE,,,,
01/14/2018,19:15,QUEENS,11370,40.76635,-73.88756,"(40.76635, -73.88756)",82 STREET                       ,23 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3828541,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,19:15,,,40.815327,-73.93576,"(40.815327, -73.93576)",5 AVENUE                        ,EAST 139 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3828490,PASSENGER VEHICLE,,,,
01/14/2018,19:17,MANHATTAN,10040,40.85874,-73.93013,"(40.85874, -73.93013)",HILLSIDE AVENUE                 ,BOGARDUS PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3829107,SPORT UTILITY / STATION WAGON,,,,
01/14/2018,19:20,MANHATTAN,10014,40.730324,-74.00247,"(40.730324, -74.00247)",BLEECKER STREET                 ,CARMINE STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3828887,PASSENGER VEHICLE,,,,
01/14/2018,19:20,,,40.63608,-74.136444,"(40.63608, -74.136444)",,,1595      CASTLETON AVENUE              ,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3828499,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,19:22,BRONX,10457,,,,,,2170      Webster Ave                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,3828951,PASSENGER VEHICLE,BU,,,
01/14/2018,19:35,,,40.80399,-73.96033,"(40.80399, -73.96033)",MORNINGSIDE DRIVE               ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3837348,BICYCLE,PASSENGER VEHICLE,,,
01/14/2018,19:37,BROOKLYN,11235,40.592514,-73.95231,"(40.592514, -73.95231)",AVENUE X                        ,EAST 18 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3829352,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/14/2018,19:39,,,40.695995,-73.96964,"(40.695995, -73.96964)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3828477,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,19:40,MANHATTAN,10016,40.745403,-73.97737,"(40.745403, -73.97737)",EAST 34 STREET                  ,QUEENS MIDTOWN TUNNEL EXIT,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3828563,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/14/2018,19:40,,,,,,,,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,Following Too Closely,,,,3828079,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,19:43,MANHATTAN,10023,40.76974,-73.982124,"(40.76974, -73.982124)",WEST 61 STREET                  ,BROADWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3829200,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,19:45,,,40.610508,-74.09576,"(40.610508, -74.09576)",STATEN ISLAND EXPRESSWAY        ,,,0,0,0,0,0,0,0,0,Obstruction/Debris,,,,,3829271,SPORT UTILITY / STATION WAGON,,,,
01/14/2018,19:50,,,40.715473,-73.95185,"(40.715473, -73.95185)",MEEKER AVENUE                   ,UNION AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3828489,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/14/2018,19:54,BRONX,10453,40.861862,-73.91282,"(40.861862, -73.91282)",WEST FORDHAM ROAD               ,MAJOR DEEGAN EXPRESSWAY,,1,0,0,0,0,0,1,0,Unspecified,,,,,3830009,PASSENGER VEHICLE,,,,
01/14/2018,1:00,BROOKLYN,11211,40.714066,-73.95163,"(40.714066, -73.95163)",METROPOLITAN AVENUE             ,UNION AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3828964,SPORT UTILITY / STATION WAGON,TAXI,,,
01/14/2018,1:00,BROOKLYN,11221,40.68969,-73.93989,"(40.68969, -73.93989)",,,724       GREENE AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3828685,PASSENGER VEHICLE,,,,
01/14/2018,1:10,,,40.67641,-73.98047,"(40.67641, -73.98047)",UNION STREET                    ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3828746,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,1:15,,,40.743156,-73.97213,"(40.743156, -73.97213)",EAST 34 STREET                  ,FDR DRIVE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,3827751,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,,
01/14/2018,1:20,MANHATTAN,10003,40.733524,-73.989876,"(40.733524, -73.989876)",EAST 13 STREET                  ,4 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3828212,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,1:20,,,40.666878,-73.901276,"(40.666878, -73.901276)",BLAKE AVENUE                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3828931,PASSENGER VEHICLE,,,,
01/14/2018,1:25,QUEENS,11361,,,,corporal kennedy street         ,43RD AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3829258,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
